期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2,销售额,一等奖注数,一等奖金额,二等奖注数,二等奖金额,奖池余额
07001,2007-05-30,22,24,29,31,35,4,11,89168335,2,5000000,8,136558,17086781
07002,2007-06-02,15,22,31,34,35,5,12,84592975,1,5000000,3,339746,16832903
07003,2007-06-04,3,4,18,23,32,1,6,78904528,1,5000000,2,317521,15795691
07004,2007-06-06,6,10,16,17,25,2,4,80930948,0,0,23,26607,17651663
07005,2007-06-09,1,9,19,20,30,2,11,84210190,0,0,15,72293,21611411
07006,2007-06-11,1,16,20,23,28,3,6,80083542,1,5000000,3,461113,18675368
07007,2007-06-13,14,16,25,26,35,4,9,82645026,0,0,6,152469,19473159
07008,2007-06-16,2,8,11,21,23,4,7,85596585,0,0,8,131766,23423679
07009,2007-06-18,1,3,9,19,34,9,12,89975065,0,0,7,190700,20385607
07010,2007-06-20,6,8,18,29,34,9,11,94230078,0,0,4,292239,20524711
07011,2007-06-23,29,32,33,34,35,9,10,99674870,0,0,3,648189,23587919
07012,2007-06-25,3,12,15,29,34,7,11,98897389,1,5000000,7,183907,19740389
07013,2007-06-27,12,17,27,29,34,6,9,102960707,0,0,12,83401,19897386
07014,2007-06-30,1,2,7,29,32,6,7,105236279,0,0,6,816872,28218110
07015,2007-07-02,2,8,12,13,17,11,12,100236279,1,6713983,8,521647,22817212
07016,2007-07-04,1,14,19,24,31,3,12,101964762,0,0,6,672187,23123073
07017,2007-07-07,13,14,29,32,34,3,12,96964762,1,7167809,4,1319535,25998850
07018,2007-07-09,3,4,16,23,28,6,9,99815184,0,0,13,66104,21806412
07019,2007-07-11,3,6,17,22,23,4,6,103935374,0,0,10,131383,22362521
07020,2007-07-14,2,6,11,12,18,5,12,98935374,1,6697736,7,540188,27639555
07021,2007-07-16,2,4,24,29,33,1,2,103966251,0,0,3,427795,22696842
07022,2007-07-18,8,10,12,23,25,3,10,105314853,0,0,5,609046,23189618
07023,2007-07-21,8,10,23,32,34,8,10,97314853,1,6276376,3,1588379,27246875
07024,2007-07-23,6,16,20,25,31,4,9,100360583,0,0,11,89160,23771974
07025,2007-07-25,22,24,26,27,34,2,10,102482191,0,0,2,2970252,25639317
07026,2007-07-28,5,9,13,33,35,1,8,103992777,0,0,6,640854,28961885
07027,2007-07-30,2,3,10,19,27,6,10,105765511,0,0,10,381819,25279174
07028,2007-08-01,20,26,30,34,35,3,10,107944923,0,0,8,622689,25755284
07029,2007-08-04,15,22,25,29,35,9,11,109715764,0,0,5,729169,29553865
07030,2007-08-06,11,14,27,33,35,2,7,111475790,0,0,4,1071320,26391058
07031,2007-08-08,3,21,27,31,32,6,8,113290150,0,0,9,529188,27411586
07032,2007-08-11,1,13,21,23,32,4,11,105290150,1,6207337,2,2704435,30475342
07033,2007-08-13,1,5,8,14,22,3,12,100290150,1,6465548,15,227974,27481967
07034,2007-08-15,6,8,11,13,22,2,11,102099756,0,0,4,1101499,27710963
07035,2007-08-18,7,11,16,31,32,1,12,104380164,0,0,9,665119,31899546
07036,2007-08-20,15,18,21,27,34,1,2,106672144,0,0,3,1782650,27583299
07037,2007-08-22,1,6,7,17,31,11,12,109005650,0,0,6,777835,28032472
07038,2007-08-25,6,21,25,27,32,8,9,111233173,0,0,4,1355883,30668940
07039,2007-08-27,10,11,20,21,35,7,11,63233173,6,5212668,6,793961,27648363
07040,2007-08-29,5,21,25,28,35,1,4,61663883,1,5000000,5,410121,28464999
07041,2007-09-01,3,16,17,22,35,1,8,45804596,4,5000000,8,296541,34045332
07042,2007-09-03,7,10,22,31,35,5,6,51845697,0,0,9,199771,30246408
07043,2007-09-05,4,9,22,24,31,2,6,43955760,2,5000000,27,56327,31248714
07044,2007-09-08,4,5,7,12,26,1,10,42773163,1,5000000,8,209895,35873627
07045,2007-09-10,9,16,20,26,35,11,12,49745733,0,0,9,259396,31167326
07046,2007-09-12,4,16,18,23,30,1,10,56784691,0,0,7,285671,31184324
